% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Complete Primary Schools,Country,City,Drinking water,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,ADM1_EN,Retention score,School infrastructure score,Toilet,Total number of schools
54.77%,0.936599424,45.23%,0.034582133,0.028818444,17.06%,16.20%,24.73%,24.95%,325,Pakistan,Bagh,30.87818697,64.89409293,2.59%,10.76487252,81.75,67.8,17.06%,0.577371048,347,0.422628952,254,3.70%,351415,12,10,Azad Kashmir,14.8,24.92917847,37.39376771,601
62.50%,0.594202899,37.50%,0.359903382,0.04589372,15.25%,20.21%,17.38%,15.43%,246,Pakistan,Bhimber,30.523918,74.48360991,2.59%,19.36218679,80.33333333,54.9,31.74%,0.695798319,414,0.304201681,181,3.70%,301633,149,19,Azad Kashmir,75.2,28.88382688,20.72892939,595
86.63%,0.9390681,13.37%,0.021505376,0.039426523,5.35%,4.55%,16.31%,20.05%,262,Pakistan,Hattian,39.13043478,47.57908416,2.59%,7.608695652,78.75,48.2,53.74%,0.736147757,279,0.263852243,100,3.70%,0,6,11,Azad Kashmir,0,22.46376812,43.84057971,379
60.77%,0.827225131,39.23%,0.041884817,0.130890052,1.57%,22.44%,7.09%,12.20%,158,Pakistan,Haveli,27.80748663,53.02104197,2.59%,1.604278075,80.75,42.1,56.69%,0.729007634,191,0.270992366,71,3.70%,150000,8,25,Azad Kashmir,0,13.04812834,26.20320856,262
60.75%,0.592348285,39.25%,0.346965699,0.060686016,7.12%,23.06%,9.78%,13.60%,449,Pakistan,Kotli,17.12779974,69.42839506,2.59%,10.40843215,78.83333333,36.43333333,46.44%,0.731660232,758,0.268339768,278,3.70%,834094,263,46,Azad Kashmir,73.2,20.18445323,14.88801054,1036
58.48%,0.582191781,41.52%,0.173515982,0.244292237,85.42%,1.28%,9.72%,2.30%,255,Pakistan,Mirpur,43.30900243,71.77102051,2.59%,50.60827251,76.83333333,47.53333333,1.28%,0.706451613,438,0.293548387,182,3.70%,754482,76,107,Azad Kashmir,71.2,51.24087591,33.57664234,620
68.36%,0.940717629,31.64%,0.026521061,0.03276131,9.90%,10.83%,18.86%,24.33%,603,Pakistan,Muzaffarabad,33.38509317,55.98838988,2.59%,7.298136646,77.91666667,50.4,36.09%,0.718609865,641,0.281390135,251,3.70%,638973,17,21,Azad Kashmir,14,24.06832298,40.83850932,892
80.78%,0.737327189,19.22%,0.184331797,0.078341014,4.08%,25.31%,13.47%,21.22%,160,Pakistan,Neelum,44.65116279,67.31347325,2.59%,4.651162791,74.66666667,55.36666667,35.92%,0.777777778,217,0.222222222,62,3.70%,0,40,17,Azad Kashmir,70,27.06976744,42.79069767,279
62.60%,0.846975089,37.40%,0.112099644,0.040925267,4.52%,25.43%,7.09%,15.53%,476,Pakistan,Poonch,9.893992933,82.93829677,2.59%,1.413427562,78.75,77.6,47.43%,0.679564692,562,0.320435308,265,3.70%,411035,63,23,Azad Kashmir,88,9.717314488,15.19434629,827
57.87%,0.707042254,42.13%,0.225352113,0.067605634,1.88%,26.02%,7.84%,14.11%,251,Pakistan,Sudhnutti,8.806818182,74.76496119,2.59%,1.136363636,79.33333333,42,50.16%,0.718623482,355,0.281376518,139,3.70%,204091,80,24,Azad Kashmir,85.6,16.64772727,8.522727273,494
63.49%,0.936599424,36.52%,0.034582133,0.028818444,17.06%,16.20%,24.73%,24.95%,325,Pakistan,Bagh,36.93909348,80.745,2.62%,20.88243626,89.38,82.7,17.06%,0.577371048,347,0.422628952,254,4.10%,351415,12,10,Azad Kashmir,64.38,30.075,43.19688385,601
71.06%,0.594202899,28.94%,0.359903382,0.04589372,15.25%,20.21%,17.38%,15.43%,246,Pakistan,Bhimber,56.261959,79.35,2.62%,51.68109339,88.685,63.07,31.74%,0.695798319,414,0.304201681,181,4.10%,301633,149,19,Azad Kashmir,86.705,47.31,38.86446469,595
56.31%,0.9390681,43.69%,0.021505376,0.039426523,5.35%,4.55%,16.31%,20.05%,262,Pakistan,Hattian,42.89051095,80.44,2.62%,20.33211679,86.915,77.665,53.74%,0.736147757,279,0.263852243,100,4.10%,0,6,11,Azad Kashmir,63.48,28.85,49.76277372,379
55.46%,0.827225131,44.55%,0.041884817,0.130890052,1.57%,22.44%,7.09%,12.20%,158,Pakistan,Haveli,39.97849462,79.545,2.62%,7.806451613,89.39,65.135,56.69%,0.729007634,191,0.270992366,71,4.10%,150000,8,25,Azad Kashmir,69.105,19.485,33.67204301,262
52.31%,0.592348285,47.70%,0.346965699,0.060686016,7.12%,23.06%,9.78%,13.60%,449,Pakistan,Kotli,36.63213811,79.925,2.62%,38.24568393,62.955,76.49,46.44%,0.731660232,758,0.268339768,278,4.10%,834094,263,46,Azad Kashmir,82.555,36.525,29.50332005,1036
61.56%,0.582191781,38.44%,0.173515982,0.244292237,85.42%,1.28%,9.72%,2.30%,255,Pakistan,Mirpur,66.43627451,74.02,2.62%,73.6127451,79.48,67.315,1.28%,0.706451613,438,0.293548387,182,4.10%,754482,76,107,Azad Kashmir,60.845,67.875,57.53431373,620
72.84%,0.940717629,27.17%,0.026521061,0.03276131,9.90%,10.83%,18.86%,24.33%,603,Pakistan,Muzaffarabad,38.55974843,65.69,2.62%,18.27358491,60.01,72.6,36.09%,0.718609865,641,0.281390135,251,4.10%,638973,17,21,Azad Kashmir,52.98,29.33,42.33333333,892
64.84%,0.737327189,35.17%,0.184331797,0.078341014,4.08%,25.31%,13.47%,21.22%,160,Pakistan,Neelum,45.3255814,71.5,2.62%,17.8255814,46.425,79.315,35.92%,0.777777778,217,0.222222222,62,4.10%,0,40,17,Azad Kashmir,75.1,35.675,51.89534884,279
53.77%,0.846975089,46.24%,0.112099644,0.040925267,4.52%,25.43%,7.09%,15.53%,476,Pakistan,Poonch,23.97335702,74.345,2.62%,17.21047957,48.415,71.665,47.43%,0.679564692,562,0.320435308,265,4.10%,411035,63,23,Azad Kashmir,81.055,20.725,24.63765542,827
59.77%,0.707042254,40.24%,0.225352113,0.067605634,1.88%,26.02%,7.84%,14.11%,251,Pakistan,Sudhnutti,21.90340909,71.08,2.62%,22.06818182,51.7,60.735,50.16%,0.718623482,355,0.281376518,139,4.10%,204091,80,24,Azad Kashmir,81.655,30.675,28.76136364,494
55.02%,0.936599424,44.98%,0.034582133,0.028818444,17.06%,16.20%,24.73%,24.95%,325,Pakistan,Bagh,25.43,78.28,2.68%,4.34,79.11,58.08,17.06%,0.577371048,347,0.422628952,254,4.00%,351415,12,10,Azad Kashmir,80.95,28.44,45.95,601
58.04%,0.594202899,41.96%,0.359903382,0.04589372,15.25%,20.21%,17.38%,15.43%,246,Pakistan,Bhimber,29.47,77.15,2.68%,19.08,78.86,57.64,31.74%,0.695798319,414,0.304201681,181,4.00%,301633,149,19,Azad Kashmir,80.12,25.51,20.53,595
61.36%,0.9390681,38.64%,0.021505376,0.039426523,5.35%,4.55%,16.31%,20.05%,262,Pakistan,Hattian,23.38,76.68,2.68%,2.88,77.89,63.68,53.74%,0.736147757,279,0.263852243,100,4.00%,0,6,11,Azad Kashmir,76.5,26.4,37.05,379
59.34%,0.827225131,40.66%,0.041884817,0.130890052,1.57%,22.44%,7.09%,12.20%,158,Pakistan,Haveli,11.64,78.25,2.68%,1.59,76.5,71.94,56.69%,0.729007634,191,0.270992366,71,4.00%,150000,8,25,Azad Kashmir,73.9,11.22,10.58,262
54.88%,0.592348285,45.12%,0.346965699,0.060686016,7.12%,23.06%,9.78%,13.60%,449,Pakistan,Kotli,15.28,77.99,2.68%,10.14,78.29,59.86,46.44%,0.731660232,758,0.268339768,278,4.00%,834094,263,46,Azad Kashmir,78.68,14.73,15.28,1036
54.03%,0.582191781,45.97%,0.173515982,0.244292237,85.42%,1.28%,9.72%,2.30%,255,Pakistan,Mirpur,36.98,78.78,2.68%,39.42,79.27,59.76,1.28%,0.706451613,438,0.293548387,182,4.00%,754482,76,107,Azad Kashmir,80.12,39.95,33.09,620
55.78%,0.940717629,44.22%,0.026521061,0.03276131,9.90%,10.83%,18.86%,24.33%,603,Pakistan,Muzaffarabad,29.49,72.93,2.68%,9.52,74.88,46.03,36.09%,0.718609865,641,0.281390135,251,4.00%,638973,17,21,Azad Kashmir,76.6,31.83,43.06,892
64.96%,0.737327189,35.04%,0.184331797,0.078341014,4.08%,25.31%,13.47%,21.22%,160,Pakistan,Neelum,26.03,75.23,2.68%,3.2,69.84,68.95,35.92%,0.777777778,217,0.222222222,62,4.00%,0,40,17,Azad Kashmir,77.08,15.71,10.5,279
54.70%,0.846975089,45.30%,0.112099644,0.040925267,4.52%,25.43%,7.09%,15.53%,476,Pakistan,Poonch,11.74,73.97,2.68%,1.78,79.11,39.93,47.43%,0.679564692,562,0.320435308,265,4.00%,411035,63,23,Azad Kashmir,81.55,14.98,23.67,827
